Id,price
25285,12302.3175
2036,1174.8
18067,1703.65
38797,5138.98
13422,1041.99
42731,1925.7333333333331
22901,6909.54
19467,5325.883333333334
26432,993.03
34800,13554.0
23901,2081.92
5404,1130.25
37121,1764.67
18970,8593.35
28944,855.81
8343,3207.11
23951,881.86
23953,10125.38
34078,3801.6
996,4613.02
39377,839.24
17344,1378.69
32019,3350.55
40904,1147.21
7806,2138.1
22483,1825.23
13872,723.61
37580,1114.08
35193,2410.45
33068,10543.81
35016,799.57
32273,1729.62
30572,5441.53
33409,8415.29
37506,1022.34
10121,698.86
36964,1459.17
16918,2645.8633333333337
29127,2175.86
31021,2858.37
22473,13608.94
1614,1377.57
39792,1990.53
18028,469.43
12072,13764.05
3613,2354.41
1133,5160.41
13186,11398.95
34110,4777.27
21290,1049.06
14936,3087.71
733,2606.29
5616,12637.11
975,942.04
26919,1196.6
6346,820.59
39313,2298.29
33522,1054.32
19019,16117.48
42484,849.07
2143,746.61
12424,828.54
13007,6469.81
4173,11537.91
18955,4373.05
34606,2267.95
12380,2021.22
7476,4417.47
16846,5946.7
32657,513.58
19621,3855.68
13057,565.77
1904,11960.26
15411,525.11
28140,724.68
586,2069.463333333333
11784,993.13
25975,7777.39
20467,498.56
25797,4286.08
2931,1230.46
35344,2967.17
6285,3359.24
30060,536.63
29821,16837.38
41269,1065.29
29024,981.69
34524,7782.96
30066,13216.74
29378,2073.28
10915,737.98
30071,678.81
19591,1479.82
21411,1043.23
9798,4810.76
32633,749.3
16045,682.23
5652,3376.53
13063,2188.48
25959,7793.17
13179,1109.1
28518,2993.77
14273,5435.09
14301,3593.7
37067,1331.5
7843,15864.81
16742,1092.16
5418,10920.57
36191,1306.28
29001,2203.98
32132,668.05
36124,2984.66
39795,591.69
19780,4916.65
22874,994.3
5134,1279.28
3562,6328.18
20821,2727.66
11306,16257.38
25149,788.98
14348,925.19
35697,2615.72
36429,592.45
34081,6058.58
22585,6290.93
40593,3555.54
28758,7329.95
16967,2770.75
20954,13034.52
1398,13865.33
35741,8197.965
27808,5115.35
27822,3907.07
2532,2428.22
8153,7864.91
5066,15401.82
30550,14076.92
35254,780.7
25709,1213.5
19437,4550.19
37635,1972.56
18444,790.75
21213,2852.66
913,8539.93
36984,3114.91
23121,788.29
14329,595.4806666666667
8968,5103.29
40086,10007.6
14229,3549.06
36287,1084.06
34170,543.82
871,5767.27
38992,9843.28
